country,strictness
Austria,permissive   
Alabama,permissive   
Alaska,permissive   
Albania,permissive   
American Samoa,restrictive   
Antigua & Barbuda,restrictive   
Argentina,restrictive   
Arizona,permissive   
Arkansas,permissive   
Armenia,restrictive   
Australia,restrictive   
Australian Capital Territory,restrictive   
Azerbaijan,restrictive   
Bahamas,restrictive   
Barbados,restrictive   
Belarus,restrictive   
Belgium,restrictive   
Belize,restrictive   
Bolivia,restrictive   
Brazil,restrictive   
Brunei,restrictive   
Bulgaria,restrictive   
Burkina Faso,restrictive   
Burundi,restrictive   
California,restrictive   
Cambodia,restrictive   
Cameroon,restrictive   
Canada,restrictive   
Cayman Islands,permissive   
Chad,permissive   
Chile,restrictive   
China,restrictive   
Colombia,restrictive   
Colorado,permissive   
Congo (DRC),restrictive   
Congo (ROC),permissive   
Connecticut,permissive   
Cook Islands,restrictive   
Costa Rica,restrictive   
Croatia,restrictive   
Cuba,restrictive   
Cyprus,restrictive   
Czech Republic,restrictive   
Delaware,permissive   
Denmark,restrictive   
District of Columbia,restrictive   
Dominica,restrictive   
Dominican Republic,restrictive   
Ecuador,restrictive   
Egypt,restrictive   
El Salvador,restrictive   
Eritrea,restrictive   
Estonia,restrictive   
Ethiopia,restrictive   
Falkland Islands,restrictive   
Fiji,restrictive   
Finland,restrictive   
Florida,permissive   
France,restrictive   
French Guiana,restrictive   
French Polynesia,restrictive   
Georgia (USA),permissive   
Germany,restrictive   
Greece,restrictive   
Grenada,restrictive   
Guadeloupe,restrictive   
Guam,permissive   
Guatemala,restrictive   
Guinea,restrictive   
Guyana,restrictive   
Haiti,restrictive   
Hawaii,restrictive   
Honduras,permissive   
Hungary,restrictive   
Idaho,permissive   
Illinois,restrictive   
India,restrictive   
Indiana,permissive   
Indonesia,restrictive   
Iowa,permissive   
Ireland,restrictive   
Jamaica,restrictive   
Japan,restrictive   
Kansas,permissive   
Kentucky,permissive   
Kenya,restrictive   
Kiribati,restrictive   
Laos,restrictive   
Latvia,restrictive   
Lebanon,restrictive   
Liberia,restrictive   
Liechtenstein,restrictive   
Lithuania,restrictive   
Louisiana,permissive   
Luxembourg,restrictive   
Macedonia,restrictive   
Madagascar,restrictive   
Maine,permissive   
Malaysia,restrictive   
Mali,restrictive   
Malta,restrictive   
Marshall Islands,restrictive   
Martinique,restrictive   
Maryland,permissive   
Massachusetts,restrictive   
Mauritania,restrictive   
Mayotte,restrictive   
Mexico,restrictive   
Michigan,permissive   
Micronesia (FSM),permissive   
Minnesota,permissive   
Mississippi,permissive   
Missouri,permissive   
Moldova,restrictive   
Monaco,restrictive   
Montana,permissive   
Montenegro,restrictive   
Montserrat,restrictive   
Mozambique,restrictive   
Myanmar,restrictive   
Namibia,permissive   
Nauru,restrictive   
Nebraska,permissive   
Netherlands,restrictive   
Nevada,permissive   
New Caledonia,restrictive   
New Hampshire,permissive   
New Jersey,restrictive   
New Mexico,permissive   
New South Wales,restrictive   
New York,restrictive   
New Zealand,restrictive   
Nicaragua,restrictive   
Nigeria,permissive   
Niue,restrictive   
North Carolina,restrictive   
North Dakota,permissive   
Northern Ireland,restrictive   
Northern Mariana Islands,permissive   
Northern Territory,restrictive   
Norway,restrictive   
Ohio,permissive   
Oklahoma,permissive   
Oman,restrictive   
Oregon,permissive   
Pakistan,permissive   
Palau,restrictive   
Panama,restrictive   
Papua New Guinea,restrictive   
Paraguay,restrictive   
Pennsylvania,permissive   
Peru,restrictive   
Philippines,restrictive   
Pitcairn,restrictive   
Poland,restrictive   
Portugal,restrictive   
Puerto Rico,restrictive   
Queensland,restrictive   
Rhode Island,restrictive   
Romania,restrictive   
Russia,restrictive   
Rwanda,restrictive   
Réunion,restrictive   
Samoa,restrictive   
Senegal,permissive   
Serbia,restrictive   
Singapore,restrictive   
Slovakia,restrictive   
Slovenia,restrictive   
Solomon Islands,restrictive   
South Africa,restrictive   
South Australia,restrictive   
South Carolina,permissive   
South Dakota,permissive   
South Korea,restrictive   
Spain,restrictive   
St Kitts & Nevis,restrictive   
St Lucia,restrictive   
St Pierre & Miquelon,restrictive   
St Vincent & Grenadines,restrictive   
Sudan,restrictive   
Suriname,restrictive   
Sweden,restrictive   
Switzerland,restrictive   
Taiwan,restrictive   
Tanzania,permissive   
Tasmania,restrictive   
Tennessee,permissive   
Texas,permissive   
Thailand,restrictive   
Timor-Leste,restrictive   
Tokelau,restrictive   
Tonga,restrictive   
Trinidad & Tobago,restrictive   
Tunisia,restrictive   
Turkey,restrictive   
Turks & Caicos,restrictive   
Tuvalu,restrictive   
Uganda,restrictive   
Ukraine,restrictive   
United Kingdom,restrictive   
United States,permissive   
Uruguay,restrictive   
Utah,permissive   
Vanuatu,restrictive   
Venezuela,restrictive   
Vermont,permissive   
Victoria,restrictive   
Vietnam,restrictive   
Virgin Islands (UK),restrictive   
Virgin Islands (US),restrictive   
Virginia,permissive   
Wallis & Futuna,restrictive   
Washington,permissive   
West Virginia,permissive   
Western Australia,restrictive   
Wisconsin,permissive   
Wyoming,permissive   
Yemen,permissive   
Zambia,permissive   
Zimbabwe,restrictive   
"To compare Austria to others, add or remove countries or states below. Only those which publish comparable data for the chosen category appear in the list. To re-create or to E-mail this chart, copy its URL from your browser address bar.",
